,Claim Number,Date Received,Incident D,Airport Code,Airport Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
0,2015060222904,2015-05-28,2015-05-21,ABE,"Lehigh Valley International Airport, Allentown",Property Damage,Checkpoint,Personal Electronics,0,Deny
1,2015082725115,2015-08-21,2015-08-01,ABE,"Lehigh Valley International Airport, Allentown",Property Damage,Checked Baggage,Sporting Equipment & Supplies,180,Settle
2,2015102326219,2015-10-07,2015-10-02,ABE,"Lehigh Valley International Airport, Allentown",Passenger Property Loss,Checked Baggage,Clothing,60,Approve in Full
3,2015122027695,2015-10-27,2015-10-19,ABE,"Lehigh Valley International Airport, Allentown",Property Damage,Checkpoint,Personal Accessories,-,-
4,2015012220065,2015-01-22,2014-12-23,ABI,Abilene Regional,Property Damage,Checked Baggage,Home Decor,0,Deny
5,2015081024734,2015-08-05,2015-07-14,ABI,Abilene Regional,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,200,Approve in Full
6,2015092825697,2015-09-07,2015-08-06,ABI,Abilene Regional,Passenger Property Loss,Checked Baggage,Personal Electronics,0,Deny
7,2015010919746,2015-01-09,2014-11-24,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,Clothing,0,Deny
8,2015022720896,2015-02-27,2013-02-26,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checkpoint,-,0,Deny
9,2015040721792,2015-04-06,2015-01-02,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,Clothing; Home Decor,136.49,Settle
10,2015052722773,2015-05-27,2015-05-06,ABQ,Albuquerque International Sunport Airport,Property Damage,Checked Baggage,Household Items,0,Deny
11,2015060422932,2015-05-29,2014-12-20,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,Cameras; Computer & Accessories; Personal Electronics,0,Deny
12,2015062523439,2015-06-25,2015-05-30,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,Clothing,0,Deny
13,2015072324120,2015-07-15,2015-06-14,ABQ,Albuquerque International Sunport Airport,Property Damage,Checked Baggage,Baggage/Cases/Purses,121.89,Settle
14,2015072124032,2015-07-21,2015-07-07,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,-,0,Deny
15,2015073124423,2015-07-22,2015-05-29,ABQ,Albuquerque International Sunport Airport,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
16,2015081824946,2015-08-18,2015-08-12,ABQ,Albuquerque International Sunport Airport,Property Damage,Checked Baggage,Clothing,0,Deny
17,2015083125181,2015-08-18,2015-08-15,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,Personal Accessories,0,Deny
18,2015082525077,2015-08-19,2015-08-15,ABQ,Albuquerque International Sunport Airport,-,Checked Baggage,Personal Accessories,-,-
