,Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
1,2016022629173,2016-02-05 00:00:00,1/2/2016 16:00,ABE,"Lehigh Valley International Airport, Allentown",Passenger Property Loss,Checked Baggage,Currency,0,Deny
2,2016052731826,2016-05-18 00:00:00,5/5/2016 17:00,ABE,"Lehigh Valley International Airport, Allentown",Passenger Property Loss,Checked Baggage,Personal Electronics,0,Deny
3,2016061532244,2016-05-31 00:00:00,5/15/2016 0:00,ABE,"Lehigh Valley International Airport, Allentown",Property Damage,Checkpoint,Jewelry & Watches,0,Deny
4,2016081633086,2016-07-06 00:00:00,7/5/2016 17:00,ABE,"Lehigh Valley International Airport, Allentown",Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
5,2016100534408,2016-09-22 00:00:00,9/11/2016 0:00,ABE,"Lehigh Valley International Airport, Allentown",Property Damage,Checked Baggage,Other,-,-
7,2016081233041,2016-07-06 00:00:00,7/3/2016 19:50,ABQ,Albuquerque International Sunport Airport,Property Damage,Checkpoint,Baggage/Cases/Purses,-,-
8,2016050931144,2016-04-18 00:00:00,4/4/2016 8:00,ABQ,Albuquerque International Sunport Airport,Property Damage,Checked Baggage,Clothing,84.99,Approve in Full
9,2016082433280,2016-07-13 00:00:00,5/14/2016 8:45,ABQ,Albuquerque International Sunport Airport,Property Damage,Checkpoint,Personal Electronics,99,Approve in Full
10,2016072832876,2016-06-29 00:00:00,5/29/2016 0:00,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,Clothing,100,Approve in Full
11,2016091533574,2016-07-25 00:00:00,7/25/2016 0:00,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,Food & Drink,15,Approve in Full
12,2016102635196,2016-09-17 00:00:00,8/28/2016 22:05,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,Clothing,32,Approve in Full
13,2016101134600,2016-09-21 00:00:00,9/6/2016 0:00,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,Clothing,16,Approve in Full
14,2016022629158,2016-02-02 00:00:00,1/13/2016 19:00,ABQ,Albuquerque International Sunport Airport,Property Damage,Checked Baggage,Cosmetics & Grooming; Personal Accessories,0,Deny
